TIME,PROCESSOR_COUNT,FORK_JOIN,FORK_NODES,INTREE_BALANCED,INTREE_UNBALANCED,INDEPENDENT_NODES,JOIN_NODES,OUTTREE_BALANCED,PIPELINE_NODES,RANDOM_NODES,SERIES_PARALLEL,STENCIL
2021-08-14T15:31:58.455Z,4,624.634,3191.577,305.425,453.753,1574.937,1439.169,266.569,238.201,956.508,257.334,253.077
2021-08-14T15:55:41.911Z,4,573.425,3079.063,304.804,457.397,9189.568,1440.544,285.771,246.524,1872.904,244.169,243.991
2021-08-14T16:07:01.005Z,4,593.191,3174.476,307.992,473.625,1598.71,1485.573,279.406,244.547,962.919,256.01,253.688
2021-08-15T14:35:56.908Z,4,519.038,2152.178,281.358,339.941,-1,603.578,273.688,253.989,-1,275.204,264.725
2021-08-15T14:55:26.476Z,4,512.038,2184.361,288.705,344.254,1501.506,582.294,267.778,253.258,937.988,254.43,251.459
2021-08-16T03:37:09.175Z,4,613.94,3056.481,295.602,361.6,1615.857,744.1,279.054,268.459,989.118,275.229,270.524
2021-08-16T03:44:56.122Z,4,526.031,2307.491,289.178,350.783,1568.292,613.114,276.582,265.397,993.268,263.423,257.465
2021-08-16T04:04:44.336Z,4,506.704,2200.147,297.782,343.893,1536.541,654.566,284.952,274.827,888.632,270.444,271.679
2021-08-16T04:13:07.411Z,4,534.526,2295.062,295.908,347.708,1592.145,611.341,274.217,255.345,914.455,260.936,258.555
2021-08-16T04:39:12.725Z,4,522.389,2292.982,278.66,327.154,1538.813,593.976,267.899,253.615,878.778,264.023,257.07
2021-08-16T06:58:30.052Z,4,516.668,1127.005,287.152,437.812,1545.081,606.621,263.162,257.356,973.598,275.715,263.828
2021-08-16T07:06:18.961Z,4,479.068,864.062,282.098,419.126,1463.837,586.763,259.959,255.963,847.875,270.561,255.567,
2021-08-16T08:29:30.765Z,4,499.003,894.057,302.722,442.688,262.223,587.532,260.321,256.155,828.823,277.147,264.436,
2021-08-16T08:55:11.902Z,4,566.428,914.934,278.904,416.396,1462.739,587.88,265.287,262.233,898.611,265.442,256.503,
2021-08-16T09:08:14.100Z,4,477.052,858.118,281.56,424.387,1468.934,579.473,259.994,256.48,865.231,272.974,257.019,
2021-08-16T12:57:07.886Z,4,602.683,1148.982,283.074,462.026,1800.724,643.996,265.597,253.579,952.483,267.373,255.919,
